loop time,Output Velocity D1,Futek Torque,V_BUS D1,I_Bus D1,V_q D1,I_q D1,Output Velocity D2,V_BUS D2,I_Bus D2,V_q D2,I_q D2,max_velocity,max_current
0.2156989574432373,0.9872745802114591,0.03080093997009925,24.3,0.16,1.005,2.49,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.2206864356994629,0.9872745802114591,0.03080093997009925,24.3,0.16,1.005,2.49,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.2257075309753418,1.0181087303300256,0.03080093997009925,24.3,0.15,0.969,2.31,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.23073387145996094,0.9960012264714307,0.03080093997009925,24.3,0.16,1.0,2.51,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.2357625961303711,0.9971647793060936,0.03080093997009925,24.4,0.15,0.991,2.43,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.24064922332763672,0.9971647793060936,0.03080093997009925,24.4,0.15,0.991,2.43,-1.035562022849969,24.3,0.0,-0.135,0.96,1,1
0.2463846206665039,1.004146096314071,0.03080093997009925,24.4,0.14,0.979,2.24,-0.9797114867861503,24.3,0.0,-0.107,0.99,1,1
0.25077080726623535,1.004146096314071,0.03080093997009925,24.4,0.14,0.979,2.24,-0.9797114867861503,24.3,0.0,-0.107,0.99,1,1
0.25563764572143555,0.9901834622981163,0.03080093997009925,24.4,0.19,1.023,2.81,-0.9738937226128358,24.3,0.0,-0.113,1.02,1,1
0.26077985763549805,0.9901834622981163,0.03080093997009925,24.4,0.19,1.023,2.81,-0.9861110273767961,24.3,0.0,-0.138,1.08,1,1
0.26566576957702637,0.9901834622981163,0.03080093997009925,24.4,0.19,1.023,2.81,-0.9861110273767961,24.3,0.0,-0.138,1.08,1,1
0.2708463668823242,1.017526953912694,0.03080093997009925,24.4,0.13,0.956,2.14,-0.9861110273767961,24.3,0.0,-0.138,1.08,1,1
0.2758352756500244,0.9983283321407564,0.03080093997009925,24.4,0.13,0.961,2.08,-1.0024007670620765,24.3,0.0,-0.131,0.86,1,1
0.28072404861450195,0.9983283321407564,0.03080093997009925,24.4,0.13,0.961,2.08,-1.0024007670620765,24.3,0.0,-0.131,0.86,1,1
0.2857825756072998,0.9872745802114591,0.03080093997009925,24.3,0.16,1.013,2.54,-1.0024007670620765,24.3,0.0,-0.131,0.86,1,1
0.2915182113647461,0.9890199094634534,0.03080093997009925,24.4,0.18,1.016,2.71,-0.9325875969823034,24.3,0.0,-0.109,1.04,1,1
0.2962338924407959,1.0215993888340142,0.03080093997009925,24.4,0.15,0.981,2.38,-0.9669124056048586,24.2,0.0,-0.141,1.09,1,1
0.3017251491546631,1.0117091897393797,0.03080093997009925,24.4,0.12,0.942,1.98,-0.9948376736367678,24.2,0.0,-0.175,1.06,1,1
0.30645060539245605,1.017526953912694,0.03080093997009925,24.4,0.13,0.95,2.06,-1.0064732019833966,24.3,0.0,-0.178,0.98,1,1
0.31128454208374023,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.0064732019833966,24.3,0.0,-0.178,0.98,1,1
0.316314697265625,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-0.9552768772582296,24.2,0.0,-0.118,0.99,1,1
0.323101282119751,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.0088003076527225,24.3,0.0,-0.16,1.08,1,1
0.3275322914123535,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.0088003076527225,24.3,0.0,-0.16,1.08,1,1
0.33214497566223145,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.0088003076527225,24.3,0.0,-0.16,1.08,1,1
0.33725643157958984,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.02392649450334,24.3,0.0,-0.183,1.0,1,1
0.3425006866455078,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.02392649450334,24.3,0.0,-0.183,1.0,1,1
0.3469815254211426,0.9791297103688188,0.03080093997009925,24.4,0.15,0.999,2.43,-1.02392649450334,24.3,0.0,-0.183,1.0,1,1
0.35204386711120605,0.9855292509594648,0.03080093997009925,24.3,0.15,1.004,2.39,-1.02392649450334,24.3,0.0,-0.183,1.0,1,1
0.3571639060974121,0.9925105679674421,0.03080093997009925,24.4,0.15,0.996,2.36,-1.02392649450334,24.3,0.0,-0.183,1.0,1,1
0.362581729888916,0.9948376736367678,0.03080093997009925,24.3,0.14,0.983,2.22,-1.0000736613927508,24.3,0.0,-0.143,1.03,1,1
0.36748600006103516,1.013454518991374,0.03080093997009925,24.4,0.13,0.951,2.06,-1.0000736613927508,24.3,0.0,-0.143,1.03,1,1
0.37422776222229004,0.9866928037941276,0.03080093997009925,24.3,0.14,0.979,2.2,-1.0727957135591812,24.2,0.0,-0.176,0.94,1,1
0.37739038467407227,0.9866928037941276,0.03080093997009925,24.3,0.14,0.979,2.2,-1.0727957135591812,24.2,0.0,-0.176,0.94,1,1
0.38215208053588867,0.9866928037941276,0.03080093997009925,24.3,0.14,0.979,2.2,-1.0727957135591812,24.2,0.0,-0.176,0.94,1,1
0.3869311809539795,1.014618071826037,0.03080093997009925,24.3,0.12,0.951,1.92,-1.0727957135591812,24.2,0.0,-0.176,0.94,1,1
0.3911898136138916,1.014618071826037,0.03080093997009925,24.3,0.12,0.951,1.92,-1.02799892942466,24.3,0.0,-0.14,0.95,1,1
0.39594101905822754,0.9930923443847735,0.03080093997009925,24.3,0.14,0.983,2.24,-1.02799892942466,24.3,0.0,-0.14,0.95,1,1
0.40130615234375,0.9936741208021049,0.03080093997009925,24.4,0.15,0.984,2.36,-1.02799892942466,24.3,0.0,-0.14,0.95,1,1
0.40587520599365234,0.9936741208021049,0.03080093997009925,24.4,0.15,0.984,2.36,-1.012290966156711,24.3,0.0,-0.156,1.05,1,1
0.4108767509460449,0.9896016858807848,0.03080093997009925,24.3,0.15,0.992,2.43,-1.012290966156711,24.3,0.0,-0.156,1.05,1,1
0.41583847999572754,0.997746555723425,0.03080093997009925,24.4,0.16,0.998,2.46,-1.012290966156711,24.3,0.0,-0.156,1.05,1,1
0.4208536148071289,0.997746555723425,0.03080093997009925,24.4,0.16,0.998,2.46,-0.9896016858807848,24.3,0.0,-0.107,0.96,1,1
0.42587709426879883,0.997746555723425,0.03080093997009925,24.4,0.16,0.998,2.46,-0.9837839217074704,24.2,0.0,-0.114,1.02,1,1
0.4309086799621582,0.9843656981248018,0.03080093997009925,24.3,0.18,1.018,2.72,-1.0088003076527225,24.3,0.0,-0.131,1.03,1,1
0.4358093738555908,1.0058914255660651,0.03080093997009925,24.3,0.17,1.008,2.63,-1.0151998482433684,24.2,0.0,-0.152,1.07,1,1
0.4408440589904785,1.0204358359993513,0.03080093997009925,24.3,0.14,0.959,2.22,-1.0565059738739009,24.2,0.0,-0.18,1.03,1,1
0.4465751647949219,1.0204358359993513,0.03080093997009925,24.3,0.14,0.959,2.22,-1.029162482259323,24.2,0.0,-0.135,0.89,1,1
0.4508786201477051,1.0047278727314024,0.03080093997009925,24.4,0.12,0.954,2.01,-1.029162482259323,24.2,0.0,-0.135,0.89,1,1
0.45586395263671875,1.0047278727314024,0.03080093997009925,24.4,0.12,0.954,2.01,-0.9744754990301673,24.2,0.0,-0.093,0.93,1,1
0.46080708503723145,0.9802932632034818,0.03080093997009925,24.3,0.18,1.032,2.66,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.4658234119415283,0.9884381330461219,0.03080093997009925,24.4,0.17,1.012,2.6,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.47083234786987305,0.9884381330461219,0.03080093997009925,24.4,0.17,1.012,2.6,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.47622108459472656,0.9884381330461219,0.03080093997009925,24.4,0.17,1.012,2.6,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.4808921813964844,1.0018189906447452,0.03080093997009925,24.4,0.14,0.976,2.31,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.4858551025390625,0.9861110273767961,0.03080093997009925,24.4,0.17,1.009,2.58,-0.9471320074155894,24.3,0.0,-0.096,1.0,1,1
0.4908015727996826,0.9925105679674421,0.03080093997009925,24.3,0.16,1.01,2.53,-0.9709848405261786,24.2,0.0,-0.115,1.01,1,1
0.49628782272338867,0.9849474745421333,0.03080093997009925,24.3,0.17,1.024,2.66,-0.972730169778173,24.2,0.0,-0.125,1.03,1,1
0.5009803771972656,0.9849474745421333,0.03080093997009925,24.3,0.17,1.024,2.66,-0.972730169778173,24.2,0.0,-0.125,1.03,1,1
0.505861759185791,1.029162482259323,0.03080093997009925,24.3,0.12,0.932,1.95,-1.0233447180860085,24.2,0.0,-0.172,1.06,1,1
0.5108916759490967,1.029162482259323,0.03080093997009925,24.3,0.12,0.932,1.95,-1.0413797870232833,24.2,0.0,-0.192,1.01,1,1
0.516387939453125,1.0088003076527225,0.03080093997009925,24.4,0.13,0.958,2.11,-1.0413797870232833,24.2,0.0,-0.192,1.01,1,1
0.5210061073303223,1.0088003076527225,0.03080093997009925,24.4,0.13,0.958,2.11,-1.0413797870232833,24.2,0.0,-0.192,1.01,1,1
0.5258724689483643,1.0088003076527225,0.03080093997009925,24.4,0.13,0.958,2.11,-0.9500408895022466,24.3,0.0,-0.105,1.0,1,1
0.5309538841247559,1.0088003076527225,0.03080093997009925,24.4,0.13,0.958,2.11,-0.9500408895022466,24.3,0.0,-0.105,1.0,1,1
0.535855770111084,1.0053096491487339,0.03080093997009925,24.3,0.15,0.978,2.33,-0.9500408895022466,24.3,0.0,-0.105,1.0,1,1
