timestamp (epoch),loop time (s),des current,velocityM (Rad/S),Futek Torque (Nm),v_busM,i_busM,v_qM,i_qM,v_dM,i_dM,accelM,velocityL (Rad/S),v_busL,i_busL,v_qL,i_qL,v_dL,i_dL,accelL
1682011370.7776048,1682011370,14.0,12.070115330375451,16.110661658375793,24.8,-3.31,2.62,-18.49,1.493,-0.62,2966.6412546530955,12.00961058297298,23.3,9.08,11.247,12.67,-0.774,0.12,1519.0578319241831
1682011370.782284,1682011370,14.0,11.844386080450851,15.7306500613422,24.8,-3.15,2.72,-19.47,1.804,-0.31,2424.783088382435,12.00961058297298,23.3,9.08,11.247,12.67,-0.774,0.12,1519.0578319241831
1682011370.7871928,1682011370,14.0,12.237666938566907,19.430762979827243,24.8,-3.32,1.829,-21.41,2.11,-2.86,2523.400786151071,12.00961058297298,23.3,9.08,11.247,12.67,-0.774,0.12,1519.0578319241831
1682011370.7912223,1682011370,14.0,12.237666938566907,17.870715370952475,24.8,-3.32,1.829,-21.41,2.11,-2.86,2523.400786151071,12.00961058297298,23.3,9.08,11.247,12.67,-0.774,0.12,1519.0578319241831
1682011370.795179,1682011370,14.0,11.867075360726778,15.040629003570647,24.7,-3.0,1.239,-27.8,3.032,-5.05,1278.4886893506052,12.00961058297298,23.3,9.08,11.247,12.67,-0.774,0.12,1519.0578319241831
1682011370.7998097,1682011370,14.0,11.672180260920744,10.790499299905392,24.8,-3.07,2.798,-25.21,2.423,2.34,2461.12368575814,11.584913798321027,23.5,9.17,10.472,13.65,-0.944,-0.58,513.6758175355
1682011370.804722,1682011370,14.0,11.672180260920744,14.505612676168091,24.8,-3.07,2.798,-25.21,2.423,2.34,2461.12368575814,11.94852405915318,23.5,8.34,11.124,11.85,-0.735,-0.56,2777.8805085861327
1682011370.810221,1682011370,14.0,11.98924840836638,15.290636633198016,24.8,-3.2,2.793,-17.82,1.423,-0.68,1191.0035658236166,12.249884243330866,23.3,9.83,11.465,13.36,-0.84,0.48,2159.810773102679
1682011370.8148394,1682011370,14.0,11.98924840836638,19.650769693899335,24.8,-3.2,2.793,-17.82,1.423,-0.68,1191.0035658236166,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.820278,1682011370,14.0,11.98924840836638,16.905685920590834,24.8,-3.2,2.793,-17.82,1.423,-0.68,1191.0035658236166,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.825451,1682011370,14.0,12.119566325848623,16.870684852443016,24.7,-3.14,1.112,-25.94,2.555,-8.51,898.0486453037274,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.832584,1682011370,14.0,12.119566325848623,10.73049746879482,24.7,-3.14,1.112,-25.94,2.555,-8.51,898.0486453037274,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.8383968,1682011370,14.0,12.119566325848623,15.51064334727011,24.7,-3.14,1.112,-25.94,2.555,-8.51,898.0486453037274,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.8444068,1682011370,14.0,12.221377198881626,19.145754282052057,24.7,-3.26,1.722,-22.7,2.181,-3.19,539.0473770246073,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.8494534,1682011370,14.0,12.221377198881626,17.435702095400867,24.7,-3.26,1.722,-22.7,2.181,-3.19,539.0473770246073,12.426162497782295,23.2,10.52,11.415,14.22,-1.019,0.38,2575.945389665312
1682011370.8554606,1682011370,14.0,12.221377198881626,16.835683784295163,24.7,-3.26,1.722,-22.7,2.181,-3.19,539.0473770246073,11.765264487693775,23.3,10.27,10.466,15.01,-1.136,-0.13,300.94463696556744
1682011370.8615825,1682011370,14.0,12.221377198881626,10.115478699911478,24.7,-3.26,1.722,-22.7,2.181,-3.19,539.0473770246073,11.499392664973305,23.5,9.36,10.364,14.01,-0.975,-0.41,1669.5032416846034
1682011370.8670785,1682011370,14.0,12.221377198881626,15.47564227912229,24.7,-3.26,1.722,-22.7,2.181,-3.19,539.0473770246073,11.499392664973305,23.5,9.36,10.364,14.01,-0.975,-0.41,1669.5032416846034
1682011370.873101,1682011370,14.0,11.97354044509843,17.785712776879183,24.8,-3.14,2.886,-17.04,1.294,-0.5,494.97022119648864,12.39241946557707,23.3,10.23,11.583,13.74,-0.884,0.64,1128.3283665642289
1682011370.8788526,1682011370,14.0,12.18588883742441,18.660739480574957,24.8,-2.99,1.005,-26.24,2.355,-9.24,1140.2668725317808,12.408709205262351,23.1,11.02,11.33,14.91,-1.108,0.48,2094.149545506325
1682011370.8831375,1682011370,14.0,12.18588883742441,17.00568897244178,24.8,-2.99,1.005,-26.24,2.355,-9.24,1140.2668725317808,12.408709205262351,23.1,11.02,11.33,14.91,-1.108,0.48,2094.149545506325
1682011370.887932,1682011370,14.0,12.18588883742441,16.025659064302502,24.8,-2.99,1.005,-26.24,2.355,-9.24,1140.2668725317808,11.80307995482032,23.3,9.84,10.534,14.36,-1.055,-0.29,1216.8347622363258
1682011370.8928409,1682011370,14.0,11.707668622377962,10.800499605090472,24.8,-2.95,2.228,-26.3,2.413,-1.12,1088.6452509258957,11.570369387887741,23.5,9.51,10.418,14.15,-0.979,-0.29,2339.454618448472
1682011370.8979015,1682011370,14.0,12.036954074587559,16.905685920590834,24.8,-3.37,3.081,-18.24,1.406,2.34,2891.229219038993,11.570369387887741,23.5,9.51,10.418,14.15,-0.979,-0.29,2339.454618448472
1682011370.9028928,1682011370,14.0,12.036954074587559,14.325607182836391,24.8,-3.37,3.081,-18.24,1.406,2.34,2891.229219038993,12.0858232936434,23.3,10.23,11.23,14.11,-0.916,0.65,1224.405617831011
1682011370.9086607,1682011370,14.0,12.1265476428566,19.545766489455865,24.9,-3.03,1.083,-25.1,2.393,-8.29,2668.2628939578226,12.0858232936434,23.3,10.23,11.23,14.11,-0.916,0.65,1224.405617831011
1682011370.9137065,1682011370,14.0,12.1265476428566,17.615707588732548,24.9,-3.03,1.083,-25.1,2.393,-8.29,2668.2628939578226,12.031718086831576,23.2,10.93,10.84,15.38,-1.135,0.46,1188.7749004374461
1682011370.9183235,1682011370,14.0,12.1265476428566,14.300606419873638,24.9,-3.03,1.083,-25.1,2.393,-8.29,2668.2628939578226,12.031718086831576,23.2,10.93,10.84,15.38,-1.135,0.46,1188.7749004374461
1682011370.9243495,1682011370,14.0,11.974122221515763,11.175511049531526,24.8,-3.37,3.177,-18.05,1.434,2.4,773.4962071491213,11.600621761588977,23.5,8.94,10.531,13.27,-0.911,-0.54,1128.005894450439
1682011370.929013,1682011370,14.0,11.974122221515763,15.40063999023408,24.8,-3.37,3.177,-18.05,1.434,2.4,773.4962071491213,11.600621761588977,23.5,8.94,10.531,13.27,-0.911,-0.54,1128.005894450439
1682011370.9338942,1682011370,14.0,11.974122221515763,17.070690956144894,24.8,-3.37,3.177,-18.05,1.434,2.4,773.4962071491213,12.353440445615863,23.3,10.31,11.506,13.9,-0.918,0.54,1138.9713504530116
1682011370.9389415,1682011370,14.0,11.974122221515763,18.960748636127818,24.8,-3.37,3.177,-18.05,1.434,2.4,773.4962071491213,12.409872758097015,23.1,10.79,11.328,14.62,-1.078,0.46,2538.567057587658
1682011370.943817,1682011370,14.0,12.17076265057379,17.475703316141242,24.8,-3.12,1.187,-25.32,2.348,-8.62,773.6519780602921,12.409872758097015,23.1,10.79,11.328,14.62,-1.078,0.46,2538.567057587658
1682011370.9482903,1682011370,14.0,12.109094350336658,17.60070713095491,24.6,-3.07,1.065,-26.56,2.51,-8.59,2329.2466347165537,11.851367397458828,23.3,10.09,10.563,14.64,-1.091,-0.25,1195.7431305629202
1682011370.9528165,1682011370,14.0,12.109094350336658,10.575492738425858,24.6,-3.07,1.065,-26.56,2.51,-8.59,2329.2466347165537,11.851367397458828,23.3,10.09,10.563,14.64,-1.091,-0.25,1195.7431305629202
1682011370.95751,1682011370,14.0,11.965977351673123,15.46064182134465,24.8,-3.4,3.168,-18.57,1.476,2.94,1288.548053145879,11.865911807892115,23.5,8.28,10.986,11.91,-0.757,-0.79,1309.165650239087
1682011370.9622307,1682011370,14.0,12.027063875492924,15.235634954680002,24.7,-3.21,2.399,-19.61,1.729,-1.77,2700.6350511930764,12.08175085872208,23.2,9.85,11.27,13.57,-0.846,0.52,2756.7476854390957
1682011370.9666834,1682011370,14.0,12.027063875492924,18.08572193243201,24.7,-3.21,2.399,-19.61,1.729,-1.77,2700.6350511930764,12.08175085872208,23.2,9.85,11.27,13.57,-0.846,0.52,2756.7476854390957
1682011370.9715912,1682011370,14.0,12.205087459196346,18.64573902279732,24.7,-3.2,1.265,-23.89,2.32,-5.97,1213.33571497374,12.159127122227162,23.1,10.74,11.044,14.9,-1.079,0.35,1287.367803237811
1682011370.9759588,1682011370,14.0,12.205087459196346,17.615707588732548,24.7,-3.2,1.265,-23.89,2.32,-5.97,1213.33571497374,11.829841670017565,23.2,10.55,10.55,15.25,-1.153,0.1,2491.236242201203
1682011370.9808428,1682011370,14.0,11.779227121709729,12.41554889248329,24.8,-2.93,1.492,-28.29,3.022,-3.66,1136.650702468495,11.558733859541112,23.4,9.79,10.331,14.59,-1.048,-0.33,1994.1117004774896
1682011370.986154,1682011370,14.0,11.73035790265389,13.175572086550497,24.7,-3.26,3.257,-21.17,1.95,4.09,4411.035240499625,11.558733859541112,23.4,9.79,10.331,14.59,-1.048,-0.33,1994.1117004774896
1682011370.9905984,1682011370,14.0,11.73035790265389,15.32063754875331,24.7,-3.26,3.257,-21.17,1.95,4.09,4411.035240499625,12.177162191164436,23.3,9.1,11.422,12.49,-0.748,0.07,1366.182160948235
